x,y,u,v
0,0.29,1.181324215,6.867776026e-19
0,0.295,1.151621379,-2.658990369e-18
0,0.3,1.120221239,0
0,0.305,1.087123793,-2.450876243e-18
0,0.31,1.052329042,-4.160326197e-18
0,0.315,1.015836987,-2.041656127e-18
0,0.32,0.9776476265,0
0,0.325,0.9377609612,7.634164673e-19
0,0.33,0.896176991,0
0,0.335,0.8528957158,0
0,0.34,0.8079171358,0
0,0.345,0.7612412508,0
0,0.35,0.712868061,0
0,0.355,0.6627975662,0
0,0.36,0.6110297666,0
0,0.365,0.557564662,0
0,0.37,0.5024022525,0
0,0.375,0.4455425381,0
0,0.38,0.3869855188,1.63017605e-19
0,0.385,0.3267311946,2.089755453e-19
0,0.39,0.2647795655,2.494873846e-19
0,0.395,0.2011306315,0
0,0.4,0.1357843926,0
0,0.405,0.06874084874,0
0,0.41,-1.158711527e-15,0
0.005,0,0,0
0.005,0.005,0.06879009757,-4.120313037e-05
0.005,0.01,0.1359760583,-0.0003025079654
0.005,0.015,0.2014204642,-0.0007884985348
0.005,0.02,0.265119495,-0.0014128912
0.005,0.025,0.3270910899,-0.00210752914
0.005,0.03,0.3873482933,-0.002833666744
0.005,0.035,0.4459122304,-0.003562486477
0.005,0.04,0.5027600644,-0.004290885777
0.005,0.045,0.5579190109,-0.005000359914
0.005,0.05,0.6113794802,-0.005702667395
0.005,0.055,0.6631248793,-0.006383973413
0.005,0.06,0.7131945973,-0.007036981512
0.005,0.065,0.7615407829,-0.007668212376
0.005,0.07,0.8082134497,-0.00826806632
0.005,0.075,0.8531648923,-0.008829215235
0.005,0.08,0.8964288656,-0.009363739304
0.005,0.085,0.9379944062,-0.00983660682
0.005,0.09,0.9778444768,-0.01028504284
0.005,0.095,1.016018321,-0.01066702552
0.005,0.1,1.052479361,-0.0109855207
0.005,0.105,1.087232777,-0.01127391711
0.005,0.11,1.120288218,-0.01144107896
0.005,0.115,1.151684544,-0.0115743792
0.005,0.12,1.181305623,-0.01164392809
0.005,0.125,1.209273792,-0.01155885554
0.005,0.13,1.235599387,-0.01146076602
0.005,0.135,1.260076569,-0.01125514092
0.005,0.14,1.282974902,-0.01089466738
0.005,0.145,1.304201156,-0.0105316787
0.005,0.15,1.323571363,-0.01002858991
0.005,0.155,1.341404338,-0.009391014676
0.005,0.16,1.357519673,-0.008752750936
0.005,0.165,1.371811232,-0.007969788804
0.005,0.17,1.384572723,-0.007085718783
0.005,0.175,1.39558104,-0.006200506794
0.005,0.18,1.404834357,-0.005200233515
0.005,0.185,1.412493644,-0.004134919888
0.005,0.19,1.418410549,-0.003073306588
0.005,0.195,1.422627543,-0.001955040638
0.005,0.2,1.425179106,-0.0008045808986
0.005,0.205,1.426027414,0.0003285282777
0.005,0.21,1.425193754,0.001443379066
0.005,0.215,1.422636814,0.002566991217
0.005,0.22,1.418437077,0.003649148425
0.005,0.225,1.412529023,0.004642250712
0.005,0.23,1.404866524,0.005632653271
0.005,0.235,1.395626847,0.006551529474
0.005,0.24,1.384621902,0.007334219296
0.005,0.245,1.371860321,0.00811211705
0.005,0.25,1.357572352,0.008789039974
0.005,0.255,1.341458125,0.009314671131
0.005,0.26,1.323627179,0.009838071774
0.005,0.265,1.304249187,0.01023411097
0.005,0.27,1.283025168,0.01049626246
0.005,0.275,1.260126586,0.01075565962
0.005,0.28,1.23563375,0.01087502829
0.005,0.285,1.20931195,0.01089670155
0.005,0.29,1.181337998,0.01090588821
0.005,0.295,1.151703825,0.01078572467
0.005,0.3,1.120314864,0.01061034408
0.005,0.305,1.087251249,0.01039776089
0.005,0.31,1.052487829,0.01008786737
0.005,0.315,1.016022934,0.009760536344
0.005,0.32,0.977839615,0.009375018446
0.005,0.325,0.937988433,0.00893514426
0.005,0.33,0.896417738,0.008477914084
0.005,0.335,0.8531503613,0.007970784233
0.005,0.34,0.8081939142,0.007442186193
0.005,0.345,0.7615189875,0.006884993749
0.005,0.35,0.7131691356,0.006301672146
0.005,0.355,0.6630966588,0.005703000369
0.005,0.36,0.6113452583,0.005081094156
0.005,0.365,0.557884998,0.004450904487
0.005,0.37,0.5027261488,0.003805512064
0.005,0.375,0.4458740194,0.003150255887
0.005,0.38,0.3873083388,0.002503012349
0.005,0.385,0.3270498105,0.001856243051
0.005,0.39,0.265080932,0.001241445193
0.005,0.395,0.2013856683,0.0006889144094
0.005,0.4,0.1359530017,0.0002634391442
0.005,0.405,0.06878384807,3.591197077e-05
0.005,0.41,-1.156830619e-15,1.126178408e-20
0.01,0,0,0
0.01,0.005,0.06905659414,-0.000204986353
0.01,0.01,0.1365696862,-0.0008240399902
0.01,0.015,0.2022629344,-0.001800675817
0.01,0.02,0.2661051912,-0.003018354265
0.01,0.025,0.328151667,-0.004376737995
0.01,0.03,0.3884429372,-0.005798815972
0.01,0.035,0.4469912263,-0.007248092947
0.01,0.04,0.5038473156,-0.008690066135
0.01,0.045,0.5589810707,-0.01011202256
0.01,0.05,0.6124075047,-0.01150996889
0.01,0.055,0.6641426943,-0.01287846077
0.01,0.06,0.7141543447,-0.01418259005
0.01,0.065,0.7624794162,-0.01545731466
0.01,0.07,0.8090840865,-0.01664943202
0.01,0.075,0.8539891117,-0.01779952422
0.01,0.08,0.8971938471,-0.01884230945
0.01,0.085,0.9386814326,-0.01982434053
0.01,0.09,0.9784757762,-0.02068591285
0.01,0.095,1.016555205,-0.0214460491
0.01,0.1,1.052926739,-0.02211052233
0.01,0.105,1.087587343,-0.02261549905
0.01,0.11,1.120532388,-0.02298695936
0.01,0.115,1.151808078,-0.02323922155
0.01,0.12,1.181326672,-0.02331887196
0.01,0.125,1.209136711,-0.02320146431
0.01,0.13,1.235314617,-0.02296810394
0.01,0.135,1.259708389,-0.02252476701
0.01,0.14,1.282428767,-0.0218527889
0.01,0.145,1.303489237,-0.02107723428
0.01,0.15,1.322781785,-0.02006879227
0.01,0.155,1.34045348,-0.01883171899
0.01,0.16,1.356393086,-0.0175024219
0.01,0.165,1.370617859,-0.0159543107
0.01,0.17,1.383257491,-0.01420949962
0.01,0.175,1.394110361,-0.01239462782
0.01,0.18,1.403304027,-0.01041305472
0.01,0.185,1.410888431,-0.008297331045
0.01,0.19,1.416724436,-0.00614749335
0.01,0.195,1.42091632,-0.003917725044
0.01,0.2,1.423451395,-0.001628312619
0.01,0.205,1.424294208,0.0006368602834
0.01,0.21,1.423496229,0.002881002353
0.01,0.215,1.4209839,0.005115183665
0.01,0.22,1.416833587,0.007257517106
0.01,0.225,1.4110341,0.009283173437
0.01,0.23,1.403467229,0.01124712377
0.01,0.235,1.39430142,0.01305662348
0.01,0.24,1.383466015,0.014676896
0.01,0.245,1.370835959,0.0162089354
0.01,0.25,1.356619609,0.01754105404
0.01,0.255,1.340678507,0.01864997807
0.01,0.26,1.323005224,0.01965953157
0.01,0.265,1.303703467,0.02045258993
0.01,0.27,1.282632199,0.02102518046
0.01,0.275,1.259895805,0.02149774368
0.01,0.28,1.235481077,0.02176412515
0.01,0.285,1.209286937,0.02184067279
0.01,0.29,1.181451309,0.02181244027
0.01,0.295,1.151906905,0.02162336263
0.01,0.3,1.120617439,0.02128280757
0.01,0.305,1.087648667,0.02082846932
0.01,0.31,1.052964956,0.02026576897
0.01,0.315,1.016569726,0.01958493838
0.01,0.32,0.9784676303,0.01882272984
0.01,0.325,0.9386576787,0.01796944363
0.01,0.33,0.8971514773,0.01702310657
0.01,0.335,0.8539261615,0.01603089774
0.01,0.34,0.8090100184,0.01494905291
0.01,0.345,0.7623876455,0.01383907293
0.01,0.35,0.714052018,0.01266271112
0.01,0.355,0.6640248531,0.01146423775
0.01,0.36,0.6122819901,0.0102180624
0.01,0.365,0.5588434579,0.008955635295
0.01,0.37,0.5037005122,0.007669776085
0.01,0.375,0.4468418316,0.006381264217
0.01,0.38,0.388285283,0.005084468709
0.01,0.385,0.3279900133,0.003823836183
0.01,0.39,0.2659491906,0.002629462868
0.01,0.395,0.2021223726,0.001557332468
0.01,0.4,0.1364678387,0.0007127126002
0.01,0.405,0.06901484514,0.000178112654
0.01,0.41,-5.987654932e-16,2.600301279e-21
0.015,0,0,0
0.015,0.005,0.06962890549,-0.0003811108097
0.015,0.01,0.1376195745,-0.001407681448
0.015,0.015,0.2036647152,-0.002911210438
0.015,0.02,0.2677354707,-0.00474194478
0.015,0.025,0.3298944245,-0.006756405887
0.015,0.03,0.3902301159,-0.008879904569
0.015,0.035,0.448803887,-0.01104103512
0.015,0.04,0.5056338593,-0.0132007892
0.015,0.045,0.5607417262,-0.01533519443
0.015,0.05,0.6141262303,-0.01742981737
0.015,0.055,0.6658102481,-0.01945837985
0.015,0.06,0.7157581189,-0.02143042165
0.015,0.065,0.7640192887,-0.02331814155
0.015,0.07,0.8105357665,-0.02511794815
0.015,0.075,0.8553658727,-0.02681576696
0.015,0.08,0.8984519812,-0.02839671101
0.015,0.085,0.9398285301,-0.02986380607
0.015,0.09,0.9794916055,-0.03115064058
0.015,0.095,1.017418983,-0.03233572516
0.015,0.1,1.053648799,-0.03330977382
0.015,0.105,1.088143406,-0.03407509991
0.015,0.11,1.120933581,-0.03470115461
0.015,0.115,1.15195557,-0.03502555368
0.015,0.12,1.181317118,-0.03515211627
0.015,0.125,1.208949168,-0.03506519509
0.015,0.13,1.23481344,-0.03462993215
0.015,0.135,1.259053622,-0.03397336907
0.015,0.14,1.281535913,-0.03306570524
0.015,0.145,1.30229676,-0.03179506965
0.015,0.15,1.321445111,-0.03028459249
0.015,0.155,1.338818027,-0.02852425571
0.015,0.16,1.354537151,-0.02641803122
0.015,0.165,1.368638907,-0.02408281811
0.015,0.17,1.380972408,-0.02154964289
0.015,0.175,1.391709021,-0.01872219576
0.015,0.18,1.400815205,-0.01571640824
0.015,0.185,1.408190549,-0.01261469143
0.015,0.19,1.413983409,-0.009301392414
0.015,0.195,1.418135691,-0.00589883107
0.015,0.2,1.420621776,-0.002532575421
0.015,0.205,1.421478644,0.0009375988591
0.015,0.21,1.420694714,0.004386671705
0.015,0.215,1.418305055,0.007672866639
0.015,0.22,1.414219573,0.01092909806
0.015,0.225,1.40849194,0.01406116574
0.015,0.23,1.401184809,0.01693901787
0.015,0.235,1.392124218,0.01966874413
0.015,0.24,1.381428228,0.02220204784
0.015,0.245,1.369120881,0.02442019902
0.015,0.25,1.355035689,0.02641515929
0.015,0.255,1.339322749,0.028183337
0.015,0.26,1.321936707,0.02960931415
0.015,0.265,1.302777687,0.03078631415
0.015,0.27,1.281990465,0.03174065915
0.015,0.275,1.259469653,0.03235818453
0.015,0.28,1.235197714,0.0327451263
0.015,0.285,1.209284351,0.03293479922
0.015,0.29,1.181604822,0.03281601337
0.015,0.295,1.152201651,0.03252016438
0.015,0.3,1.121111172,0.03205689504
0.015,0.305,1.088276376,0.03131987151
0.015,0.31,1.053735381,0.03047062525
0.015,0.315,1.017459352,0.02945584966
0.015,0.32,0.9794873405,0.02827885528
0.015,0.325,0.939774591,0.02700317875
0.015,0.33,0.8983579762,0.02558565604
0.015,0.335,0.8552259738,0.02408601903
0.015,0.34,0.8103664313,0.02249028557
0.015,0.345,0.7638158058,0.02081192621
0.015,0.35,0.7155256464,0.01907322421
0.015,0.355,0.6655497992,0.01726589518
0.015,0.36,0.6138429559,0.01541923995
0.015,0.365,0.5604340258,0.01352405691
0.015,0.37,0.5053082728,0.01160592382
0.015,0.375,0.4484591065,0.009662506499
0.015,0.38,0.389867474,0.007750903238
0.015,0.385,0.3295351759,0.005865406762
0.015,0.39,0.2673733719,0.004099949627
0.015,0.395,0.2033379467,0.002507919277
0.015,0.4,0.1373725645,0.00121086593
0.015,0.405,0.06950821395,0.0003290398904
0.015,0.41,-4.041105095e-16,-8.692760826e-22
0.02,0,0,0
0.02,0.005,0.07052110509,-0.0005530273605
0.02,0.01,0.1391630587,-0.001999538618
0.02,0.015,0.2056541198,-0.004062321194
0.02,0.02,0.2699981357,-0.006522612915
0.02,0.025,0.3323207799,-0.009220588548
0.02,0.03,0.3927347463,-0.01205012852
0.02,0.035,0.4513266834,-0.01492597862
0.02,0.04,0.5081401216,-0.01778717073
0.02,0.045,0.5632059237,-0.02062800547
0.02,0.05,0.6165535436,-0.02341916881
0.02,0.055,0.6681411167,-0.02613257773
0.02,0.06,0.7180404542,-0.02877411682
0.02,0.065,0.7661672995,-0.03129933479
0.02,0.07,0.8126051459,-0.03371868644
0.02,0.075,0.8572837292,-0.03599765855
0.02,0.08,0.9002334442,-0.0381563837
0.02,0.085,0.9414783852,-0.04009219153
0.02,0.09,0.9809472517,-0.04185089176
0.02,0.095,1.018704147,-0.04341701882
0.02,0.1,1.054714871,-0.04471756593
0.02,0.105,1.088957121,-0.04577452602
0.02,0.11,1.121514065,-0.04659281949
0.02,0.115,1.152266679,-0.0470640686
0.02,0.12,1.181349126,-0.04724042105
0.02,0.125,1.208665198,-0.04711686413
0.02,0.13,1.234194472,-0.04656714558
0.02,0.135,1.258168098,-0.04569499889
0.02,0.14,1.280272773,-0.04447855527
0.02,0.145,1.300654159,-0.04278757623
0.02,0.15,1.319550364,-0.0407735339
0.02,0.155,1.336552846,-0.03840937655
0.02,0.16,1.351908158,-0.03557830385
0.02,0.165,1.365782862,-0.03245750109
0.02,0.17,1.37781204,-0.02903919335
0.02,0.175,1.388295506,-0.02523282867
0.02,0.18,1.39720016,-0.0212059768
0.02,0.185,1.404389004,-0.01699857818
0.02,0.19,1.410080524,-0.01254290303
0.02,0.195,1.414111206,-0.007979615409
0.02,0.2,1.416553433,-0.003398615457
0.02,0.205,1.417469166,0.001255407115
0.02,0.21,1.416697465,0.005882022288
0.02,0.215,1.414413757,0.0103490988
0.02,0.22,1.410503033,0.01471254269
0.02,0.225,1.404943501,0.0189227699
0.02,0.23,1.397870414,0.02281930848
0.02,0.235,1.389038355,0.02646843626
0.02,0.24,1.378638626,0.02987572424
0.02,0.245,1.366656154,0.03286438666
0.02,0.25,1.352801862,0.03551996538
0.02,0.255,1.337461915,0.03789144618
0.02,0.26,1.320436988,0.03980318044
0.02,0.265,1.301517668,0.04136420292
0.02,0.27,1.281087824,0.04262585228
0.02,0.275,1.258911869,0.04345071017
0.02,0.28,1.234878809,0.04395817817
0.02,0.285,1.209263061,0.04417873838
0.02,0.29,1.181856962,0.0440244805
0.02,0.295,1.152693322,0.0436108012
0.02,0.3,1.121839118,0.042948046
0.02,0.305,1.089191598,0.0419913417
0.02,0.31,1.054862074,0.04082824593
0.02,0.315,1.018764969,0.03947739835
0.02,0.32,0.9809311793,0.03790722422
0.02,0.325,0.9413773984,0.03617511193
0.02,0.33,0.9000601647,0.03430164016
0.02,0.335,0.857045052,0.03225552238
0.02,0.34,0.8122985722,0.03012007087
0.02,0.345,0.7658067371,0.02786492824
0.02,0.35,0.71762232,0.02553297867
0.02,0.355,0.6676774717,0.02311902853
0.02,0.36,0.6160437043,0.02064680281
0.02,0.365,0.5626572169,0.01812600879
0.02,0.37,0.5075579109,0.01557600846
0.02,0.375,0.4507079228,0.0130062686
0.02,0.38,0.3920913348,0.01046554147
0.02,0.385,0.3316710427,0.007975932418
0.02,0.39,0.2693486032,0.005617961421
0.02,0.395,0.2050570166,0.003484395303
0.02,0.4,0.138696833,0.001712986962
0.02,0.405,0.0702738366,0.0004750670085
0.02,0.41,-4.750431796e-16,-3.304695713e-21
0.025,0,0,0
0.025,0.005,0.07172936449,-0.0007196315365
0.025,0.01,0.1412147928,-0.002587404758
0.025,0.015,0.2082567848,-0.00522377417
0.025,0.02,0.2729428616,-0.008343446139
0.025,0.025,0.3354491195,-0.01174525317
0.025,0.03,0.3959531105,-0.01527171156
0.025,0.035,0.4545683972,-0.01887148136
0.025,0.04,0.5113601802,-0.02246581546
0.025,0.045,0.5663895403,-0.02603250053
0.025,0.05,0.6196460431,-0.0295285742
0.025,0.055,0.6711668466,-0.03294925138
0.025,0.06,0.7209429896,-0.03624227594
0.025,0.065,0.768962156,-0.03941196992
0.025,0.07,0.8152558511,-0.04243613564
0.025,0.075,0.8597482698,-0.04530901659
0.025,0.08,0.902552173,-0.04797171194
0.025,0.085,0.9435570583,-0.05043120197
0.025,0.09,0.9827985615,-0.05269573117
0.025,0.095,1.020317043,-0.05461360135
0.025,0.1,1.056041849,-0.05631910478
0.025,0.105,1.090008686,-0.05769878614
0.025,0.11,1.122217574,-0.05868742887
0.025,0.115,1.152664297,-0.05936407278
0.025,0.12,1.181317887,-0.05958746064
0.025,0.125,1.208274922,-0.05940743406
0.025,0.13,1.233475181,-0.05881167394
0.025,0.135,1.256871984,-0.05769504772
0.025,0.14,1.278638293,-0.05613492829
0.025,0.145,1.298684073,-0.05409920785
0.025,0.15,1.316949418,-0.05154657289
0.025,0.155,1.333636265,-0.04851766979
0.025,0.16,1.348673801,-0.04502149701
0.025,0.165,1.361971846,-0.04108420015
0.025,0.17,1.373745568,-0.03670289025
0.025,0.175,1.383951912,-0.03193086899
0.025,0.18,1.392463448,-0.02687684309
0.025,0.185,1.399495361,-0.02148270614
0.025,0.19,1.405008527,-0.01587171676
0.025,0.195,1.408899987,-0.01014244057
0.025,0.2,1.411309881,-0.004271090831
0.025,0.205,1.41223069,0.001595181966
0.025,0.21,1.411551666,0.007405495383
0.025,0.215,1.409364199,0.01312595603
0.025,0.22,1.405694064,0.01862323277
0.025,0.225,1.40038089,0.02389935436
0.025,0.23,1.393514302,0.02888303431
0.025,0.235,1.385142998,0.03348114342
0.025,0.24,1.375053894,0.03772124948
0.025,0.245,1.363353583,0.04153750104
0.025,0.25,1.350089619,0.04490232782
0.025,0.255,1.33506964,0.04779935641
0.025,0.26,1.318362552,0.05023586124
0.025,0.265,1.300034634,0.05222213661
0.025,0.27,1.279921666,0.05371190371
0.025,0.275,1.258065608,0.05476381889
0.025,0.28,1.234541625,0.05541353174
0.025,0.285,1.209219791,0.05560324081
0.025,0.29,1.182135651,0.05542940306
0.025,0.295,1.153329422,0.05489977094
0.025,0.3,1.12273936,0.05399122643
0.025,0.305,1.090381778,0.05282896691
0.025,0.31,1.056277278,0.05132525376
0.025,0.315,1.02042372,0.04956347751
0.025,0.32,0.9827654639,0.04762215081
0.025,0.325,0.9434030491,0.04539860677
0.025,0.33,0.9022748363,0.04303485919
0.025,0.335,0.8593796975,0.04049798189
0.025,0.34,0.8147721008,0.03780859327
0.025,0.345,0.7683841332,0.03500512189
0.025,0.35,0.7202876204,0.03207925768
0.025,0.355,0.6704371617,0.02907198674
0.025,0.36,0.618844227,0.02596033325
0.025,0.365,0.5655325764,0.0228099223
0.025,0.37,0.5104378315,0.01960352105
0.025,0.375,0.4535863156,0.01639871839
0.025,0.38,0.3949397427,0.01322952133
0.025,0.385,0.3343978275,0.0101061128
0.025,0.39,0.2718995401,0.007152305132
0.025,0.395,0.2072968986,0.004463875487
0.025,0.4,0.1404510929,0.002208427925
0.025,0.405,0.07130662521,0.0006152485823
0.025,0.41,-5.593016146e-16,-3.025368288e-21
0.03,0,0,0
0.03,0.005,0.07324860169,-0.0008828769199
0.03,0.01,0.1437807702,-0.003171383019
0.03,0.015,0.2114915778,-0.006388926838
0.03,0.02,0.2765739669,-0.01017628141
0.03,0.025,0.3393070297,-0.01429412755
0.03,0.03,0.3999011538,-0.01855388632
0.03,0.035,0.4585307867,-0.02289163389
0.03,0.04,0.515300696,-0.0272365707
0.03,0.045,0.5702764349,-0.03151482842
0.03,0.05,0.6234561135,-0.03571295283
0.03,0.055,0.6748845075,-0.03982890594
0.03,0.06,0.7245027935,-0.04380603362
0.03,0.065,0.7724072414,-0.04764493699
0.03,0.07,0.8184874082,-0.05132583347
0.03,0.075,0.8628508253,-0.05480537512
0.03,0.08,0.9054121117,-0.05805506619
0.03,0.085,0.9461604062,-0.06107858542
0.03,0.09,0.9851829999,-0.0637730907
0.03,0.095,1.022359272,-0.06615314122
0.03,0.1,1.057751774,-0.06825137055
0.03,0.105,1.091377734,-0.06990961932
0.03,0.11,1.123126957,-0.07113358571
0.03,0.115,1.15320525,-0.07202864378
0.03,0.12,1.181401873,-0.07234082759
0.03,0.125,1.207821661,-0.07212245119
0.03,0.13,1.232576584,-0.07148903092
0.03,0.135,1.255422283,-0.0701826672
0.03,0.14,1.276641721,-0.06826952428
0.03,0.145,1.296170747,-0.06589133763
0.03,0.15,1.313846602,-0.06281339412
0.03,0.155,1.330053996,-0.05910000386
0.03,0.16,1.344542007,-0.05493829562
0.03,0.165,1.357321246,-0.05014313525
0.03,0.17,1.368743533,-0.04475738757
0.03,0.175,1.378443069,-0.03903337066
0.03,0.18,1.386632282,-0.03284587434
0.03,0.185,1.393472421,-0.02619644212
0.03,0.19,1.398642796,-0.01941084055
0.03,0.195,1.40248158,-0.01241875087
0.03,0.2,1.404854215,-0.005159693685
0.03,0.205,1.405677904,0.001976791783
0.03,0.21,1.405219058,0.009033748712
0.03,0.215,1.403144953,0.01610200981
0.03,0.22,1.399655646,0.02281133539
0.03,0.225,1.39477001,0.02917291311
0.03,0.23,1.388162258,0.03530224647
0.03,0.235,1.380204991,0.04092066823
0.03,0.24,1.370649595,0.04598434418
0.03,0.245,1.359342586,0.05065596907
0.03,0.25,1.346628871,0.05473903346
0.03,0.255,1.332136659,0.05816313533
0.03,0.26,1.315913142,0.06113422496
0.03,0.265,1.29815103,0.06351157518
0.03,0.27,1.278503083,0.0652247057
0.03,0.275,1.257158642,0.06650563562
0.03,0.28,1.234128678,0.06724296688
0.03,0.285,1.209190268,0.06738581509
0.03,0.29,1.182575004,0.06716908742
0.03,0.295,1.154158105,0.06648888821
0.03,0.3,1.123879606,0.06531367851
0.03,0.305,1.091909939,0.06387370708
0.03,0.31,1.058073255,0.0620873204
0.03,0.315,1.022503235,0.05990818947
0.03,0.32,0.9851284547,0.05751073113
0.03,0.325,0.9459356237,0.05486850022
0.03,0.33,0.9050113299,0.05198157707
0.03,0.335,0.862290139,0.04889482129
0.03,0.34,0.8177973623,0.04562570889
0.03,0.345,0.7715787059,0.04221892326
0.03,0.35,0.7235499142,0.03868736446
0.03,0.355,0.67382425,0.0350535744
0.03,0.36,0.6222909796,0.03132420441
0.03,0.365,0.5690201246,0.02754713687
0.03,0.37,0.5139640672,0.02369114063
0.03,0.375,0.4571208754,0.01984201411
0.03,0.38,0.3984158274,0.01601100455
0.03,0.385,0.3377681618,0.01227257898
0.03,0.39,0.2750456217,0.008700250442
0.03,0.395,0.2100686888,0.005444954258
0.03,0.4,0.1426377609,0.002697339701
0.03,0.405,0.07260013931,0.0007515618673
0.03,0.41,-1.017971571e-15,-8.290735134e-21
0.035,0,0,0
0.035,0.005,0.0750752107,-0.001044146849
0.035,0.01,0.1468620263,-0.003750995744
0.035,0.015,0.2153644759,-0.007553831264
0.035,0.02,0.2809117946,-0.01202031568
0.035,0.025,0.3438836581,-0.0168654294
0.035,0.03,0.4046054244,-0.02187629858
0.035,0.035,0.463249643,-0.02696952265
0.035,0.04,0.5200038682,-0.03205763024
0.035,0.045,0.574894461,-0.03706373087
0.035,0.05,0.6279816625,-0.0420157304
0.035,0.055,0.679271876,-0.04685954214
0.035,0.06,0.7287798671,-0.05152854304
0.035,0.065,0.7764946297,-0.05604558335
0.035,0.07,0.8223867229,-0.06035162846
0.035,0.075,0.8665277471,-0.06443037537
0.035,0.08,0.9087766719,-0.06828340468
0.035,0.085,0.9493015353,-0.07181780807
0.035,0.09,0.9879609898,-0.07504074702
0.035,0.095,1.024763247,-0.07796174181
0.035,0.1,1.059809966,-0.08037134584
0.035,0.105,1.092998455,-0.08242614314
0.035,0.11,1.12431167,-0.08401519022
0.035,0.115,1.153853348,-0.08498136983
0.035,0.12,1.181563256,-0.08544227046
0.035,0.125,1.20740209,-0.08530762932
0.035,0.13,1.23150019,-0.08449259978
0.035,0.135,1.253819487,-0.08303379306
0.035,0.14,1.274324936,-0.08086231279
0.035,0.145,1.293145856,-0.07801447315
0.035,0.15,1.310294796,-0.07443204117
0.035,0.155,1.325739169,-0.07011110644
0.035,0.16,1.339563103,-0.06514621672
0.035,0.165,1.351872164,-0.05948744685
0.035,0.17,1.362615052,-0.05317520414
0.035,0.175,1.371805856,-0.04632980373
0.035,0.18,1.379650497,-0.03896376767
0.035,0.185,1.38603973,-0.03114400694
0.035,0.19,1.390952238,-0.02302358669
0.035,0.195,1.394634088,-0.01465998084
0.035,0.2,1.396909396,-0.006128011961
0.035,0.205,1.397754501,0.00239660267
0.035,0.21,1.397394221,0.01083753347
0.035,0.215,1.395604922,0.01913948295
0.035,0.22,1.39237012,0.02713055559
0.035,0.225,1.387848973,0.03473398075
0.035,0.23,1.381822639,0.04193283283
0.035,0.235,1.374271869,0.04858416621
0.035,0.24,1.365283314,0.05462744778
0.035,0.245,1.354700959,0.06009118281
0.035,0.25,1.342477678,0.06487326811
0.035,0.255,1.328647076,0.06894339203
0.035,0.26,1.313154897,0.07238056514
0.035,0.265,1.295901393,0.0751136771
0.035,0.27,1.276911953,0.0771627954
0.035,0.275,1.256200594,0.0785771881
0.035,0.28,1.23364934,0.07936317419
0.035,0.285,1.209289184,0.07957221988
0.035,0.29,1.183164684,0.07919571604
0.035,0.295,1.155169733,0.07830946751
0.035,0.3,1.125343228,0.07698754838
0.035,0.305,1.093731919,0.0751683958
0.035,0.31,1.060261153,0.07298335978
0.035,0.315,1.024943883,0.07046265943
0.035,0.32,0.987876547,0.06753571311
0.035,0.325,0.9489608119,0.06439564587
0.035,0.33,0.9082316934,0.0609958592
0.035,0.335,0.8657495854,0.05735501744
